ID;User_ID;Table_rank_2024_05;Person;net_worth_inBillionUSD_2024_05;Age_of_person_2024_05;Date
403;302;403;Robert Ng;7;72;2024-05-31
404;400;404;John Grayken;6,9;67;2024-05-31
405;531;405;Viktor Kharitonin;6,9;51;2024-05-31
406;176;406;Wu Yajun;6,9;60;2024-05-31
407;443;407;Thomas Schmidheiny;6,9;78;2024-05-31
408;664;408;Peter Thiel;6,9;56;2024-05-31
409;410;409;Michal Solowow;6,9;61;2024-05-31
410;698;410;Rakesh Mittal;6,9;68;2024-05-31
411;697;411;Rajan Mittal;6,9;64;2024-05-31
412;457;412;Seo Jung-jin;6,9;66;2024-05-31
413;213;413;Anthony von Mandl;6,9;74;2024-05-31
414;408;414;Ruan Liping;6,8;59;2024-05-31
415;369;415;Terrence Pegula;6,8;73;2024-05-31
416;264;416;Ding Shizhong;6,8;53;2024-05-31
417;409;417;Ruan Xueping;6,8;52;2024-05-31
418;566;418;Thai Lee;6,8;65;2024-05-31
419;306;419;Benu Gopal Bangur;6,8;93;2024-05-31
420;751;420;Richard Uihlein;6,8;78;2024-05-31
421;750;420;Elizabeth Uihlein;6,8;78;2024-05-31
422;411;422;Mike Adenuga;6,7;71;2024-05-31
423;269;423;Andrei Skoch  ;6,7;58;2024-05-31
424;394;424;Alexei Kuzmichev;6,7;61;2024-05-31
425;609;425;Marc Rowan;6,7;61;2024-05-31
426;371;426;George Soros;6,7;93;2024-05-31
427;385;427;Nathan Kirsh;6,7;92;2024-05-31
428;1027;428;Martin Lorentzon;6,7;55;2024-05-31
429;420;429;Neil Bluhm;6,7;86;2024-05-31
430;661;430;Lynsi Snyder;6,7;42;2024-05-31
431;214;431;Wang Liping  ;6,7;58;2024-05-31
432;649;432;Thomas Hagen;6,7;88;2024-05-31
433;386;433;Annette Lerner  ;6,7;94;2024-05-31
434;402;434;Wang Yusuo  ;6,7;60;2024-05-31
435;1157;435;Eric Douglas;6,6;56;2024-05-31
436;389;436;Radovan Vitek;6,6;53;2024-05-31
437;1156;437;Carl Douglas;6,6;63;2024-05-31
438;322;438;Liang Wengen;6,6;67;2024-05-31
439;599;439;Maximilian Viessmann;6,5;35;2024-05-31
440;720;440;Pedro Moreira Salles;6,5;64;2024-05-31
441;296;441;Ding Shijia;6,5;60;2024-05-31
442;496;442;Thomas Pritzker;6,5;73;2024-05-31
443;427;443;Michael Milken;6,5;77;2024-05-31
444;337;444;Don Vultaggio  ;6,5;72;2024-05-31
445;573;445;Jason Chang;6,5;80;2024-05-31
446;623;446;Patrick Drahi;6,5;60;2024-05-31
447;426;447;Frank Lowy;6,5;93;2024-05-31
448;479;448;Patrizio Bertelli;6,5;78;2024-05-31
449;485;449;Miuccia Prada;6,5;75;2024-05-31
450;425;450;Joe Lewis;6,4;87;2024-05-31
451;571;451;Maria Fernanda Amorim  ;6,4;89;2024-05-31
452;362;452;Sofie Kirk Kristiansen;6,4;48;2024-05-31
453;373;452;Agnete Kirk Thinggaard;6,4;41;2024-05-31
